l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,95.889158,0.700785,6,[X3 == 2 OR X3 == 10 OR X3 == 12 OR X5 == 1 OR X6 == 12 OR X6 == 13],{'0': {'precision': 0.7893216503779308; 'recall': 0.8188083703740698; 'f1-score': 0.8037946756876012; 'support': 20023}; '1': {'precision': 0.3524897376405497; 'recall': 0.31097464966147065; 'f1-score': 0.33043332775639955; 'support': 6351}; 'accuracy': 0.6965192993099264; 'macro avg': {'precision': 0.5709056940092403; 'recall': 0.5648915100177703; 'f1-score': 0.5671140017220004; 'support': 26374}; 'weighted avg': {'precision': 0.6841301937238357; 'recall': 0.6965192993099264; 'f1-score': 0.6898067360231187; 'support': 26374}},{'0': {'precision': 0.7930434782608695; 'recall': 0.8197752808988764; 'f1-score': 0.8061878453038673; 'support': 2225}; '1': {'precision': 0.36450079239302696; 'recall': 0.32577903682719545; 'f1-score': 0.34405385190725507; 'support': 706}; 'accuracy': 0.7007847151142954; 'macro avg': {'precision': 0.5787721353269483; 'recall': 0.5727771588630359; 'f1-score': 0.5751208486055612; 'support': 2931}; 'weighted avg': {'precision': 0.6898189350255585; 'recall': 0.7007847151142954; 'f1-score': 0.6948720488732947; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],262,102.273869,0.714091,2,[X0 >= 58.000000 OR X3 == 10],{'0': {'precision': 0.7687633718442447; 'recall': 0.8972681416371173; 'f1-score': 0.8280598253174475; 'support': 20023}; '1': {'precision': 0.3152463382157124; 'recall': 0.14911037631868998; 'f1-score': 0.20245857830037411; 'support': 6351}; 'accuracy': 0.7171077576401002; 'macro avg': {'precision': 0.5420048550299785; 'recall': 0.5231892589779037; 'f1-score': 0.5152592018089108; 'support': 26374}; 'weighted avg': {'precision': 0.6595540490045233; 'recall': 0.7171077576401002; 'f1-score': 0.6774117052065264; 'support': 26374}},{'0': {'precision': 0.7652007648183556; 'recall': 0.8993258426966292; 'f1-score': 0.8268595041322314; 'support': 2225}; '1': {'precision': 0.2911392405063291; 'recall': 0.13031161473087818; 'f1-score': 0.18003913894324855; 'support': 706}; 'accuracy': 0.7140907540088707; 'macro avg': {'precision': 0.5281700026623424; 'recall': 0.5148187287137537; 'f1-score': 0.50344932153774; 'support': 2931}; 'weighted avg': {'precision': 0.6510119431996962; 'recall': 0.7140907540088707; 'f1-score': 0.6710576693238309; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],262,95.954391,0.709997,4,[X1 == 5 OR X2 >= 329054.000000 OR X3 == 14 OR X6 == 13],{'0': {'precision': 0.7800858290723156; 'recall': 0.853368626080008; 'f1-score': 0.815083359171894; 'support': 20023}; '1': {'precision': 0.34317673378076063; 'recall': 0.24153676586364353; 'f1-score': 0.28352277978005735; 'support': 6351}; 'accuracy': 0.7060362478198225; 'macro avg': {'precision': 0.5616312814265381; 'recall': 0.5474526959718258; 'f1-score': 0.5493030694759757; 'support': 26374}; 'weighted avg': {'precision': 0.6748757864471292; 'recall': 0.7060362478198225; 'f1-score': 0.6870807338697952; 'support': 26374}},{'0': {'precision': 0.7837391663227404; 'recall': 0.8534831460674157; 'f1-score': 0.8171256454388985; 'support': 2225}; '1': {'precision': 0.35826771653543305; 'recall': 0.2577903682719547; 'f1-score': 0.29983525535420097; 'support': 706}; 'accuracy': 0.7099965881951552; 'macro avg': {'precision': 0.5710034414290868; 'recall': 0.5556367571696852; 'f1-score': 0.5584804503965497; 'support': 2931}; 'weighted avg': {'precision': 0.6812544022320414; 'recall': 0.7099965881951552; 'f1-score': 0.6925241389906569; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],262,95.707278,0.570113,3,[X1 == 0 OR X2 >= 219632.000000 OR X3 == 14],{'0': {'precision': 0.7561333489846226; 'recall': 0.6434100784098287; 'f1-score': 0.6952321847764495; 'support': 20023}; '1': {'precision': 0.2352185089974293; 'recall': 0.34577231931979213; 'f1-score': 0.2799770510613884; 'support': 6351}; 'accuracy': 0.571737317054675; 'macro avg': {'precision': 0.49567592899102597; 'recall': 0.4945911988648104; 'f1-score': 0.48760461791891896; 'support': 26374}; 'weighted avg': {'precision': 0.6306942745644109; 'recall': 0.571737317054675; 'f1-score': 0.595236531700528; 'support': 26374}},{'0': {'precision': 0.7493540051679587; 'recall': 0.651685393258427; 'f1-score': 0.6971153846153847; 'support': 2225}; '1': {'precision': 0.22188755020080322; 'recall': 0.3130311614730878; 'f1-score': 0.2596944770857814; 'support': 706}; 'accuracy': 0.5701125895598772; 'macro avg': {'precision': 0.48562077768438094; 'recall': 0.4823582773657574; 'f1-score': 0.47840493085058305; 'support': 2931}; 'weighted avg': {'precision': 0.6223013551485757; 'recall': 0.5701125895598772; 'f1-score': 0.5917523137467734; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],262,97.122540,0.711361,1,[X2 >= 329054.000000],{'0': {'precision': 0.7594723310995912; 'recall': 0.8999650402037657; 'f1-score': 0.8237714285714285; 'support': 20023}; '1': {'precision': 0.2432942954287873; 'recall': 0.10140135411746182; 'f1-score': 0.14314292064903314; 'support': 6351}; 'accuracy': 0.707666641389247; 'macro avg': {'precision': 0.5013833132641893; 'recall': 0.5006831971606137; 'f1-score': 0.4834571746102308; 'support': 26374}; 'weighted avg': {'precision': 0.635173904446627; 'recall': 0.707666641389247; 'f1-score': 0.6598724502664641; 'support': 26374}},{'0': {'precision': 0.7591131153701616; 'recall': 0.9078651685393259; 'f1-score': 0.8268522308636922; 'support': 2225}; '1': {'precision': 0.24074074074074073; 'recall': 0.09206798866855524; 'f1-score': 0.13319672131147542; 'support': 706}; 'accuracy': 0.7113613101330604; 'macro avg': {'precision': 0.49992692805545114; 'recall': 0.49996657860394056; 'f1-score': 0.4800244760875838; 'support': 2931}; 'weighted avg': {'precision': 0.6342509876020377; 'recall': 0.7113613101330604; 'f1-score': 0.65976905456077; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],262,98.211051,0.691468,4,[X0 >= 58.000000 OR X3 == 9 OR X3 == 10 OR X3 == 14],{'0': {'precision': 0.8169776609724048; 'recall': 0.7762573041002847; 'f1-score': 0.7960971112476951; 'support': 20023}; '1': {'precision': 0.3904761904761905; 'recall': 0.45182619647355166; 'f1-score': 0.41891694643117794; 'support': 6352}; 'accuracy': 0.6981232227488152; 'macro avg': {'precision': 0.6037269257242976; 'recall': 0.6140417502869182; 'f1-score': 0.6075070288394365; 'support': 26375}; 'weighted avg': {'precision': 0.714261553272236; 'recall': 0.6981232227488152; 'f1-score': 0.7052592569570973; 'support': 26375}},{'0': {'precision': 0.8108235294117647; 'recall': 0.7743820224719101; 'f1-score': 0.7921839080459769; 'support': 2225}; '1': {'precision': 0.3763975155279503; 'recall': 0.4297872340425532; 'f1-score': 0.40132450331125835; 'support': 705}; 'accuracy': 0.6914675767918089; 'macro avg': {'precision': 0.5936105224698576; 'recall': 0.6020846282572316; 'f1-score': 0.5967542056786177; 'support': 2930}; 'weighted avg': {'precision': 0.7062944032042257; 'recall': 0.6914675767918089; 'f1-score': 0.6981375325040053; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],262,102.873518,0.749829,4,[X1 == 5 OR X5 == 1 OR X13 == 0 OR X13 == 12],{'0': {'precision': 0.7708683473389356; 'recall': 0.9620935923687759; 'f1-score': 0.855930508964077; 'support': 20023}; '1': {'precision': 0.451985559566787; 'recall': 0.09855163727959698; 'f1-score': 0.16181982680625567; 'support': 6352}; 'accuracy': 0.7541232227488152; 'macro avg': {'precision': 0.6114269534528614; 'recall': 0.5303226148241864; 'f1-score': 0.5088751678851663; 'support': 26375}; 'weighted avg': {'precision': 0.6940704907350043; 'recall': 0.7541232227488152; 'f1-score': 0.688764971407054; 'support': 26375}},{'0': {'precision': 0.7683453237410072; 'recall': 0.96; 'f1-score': 0.8535464535464535; 'support': 2225}; '1': {'precision': 0.4066666666666667; 'recall': 0.08652482269503546; 'f1-score': 0.14269005847953214; 'support': 705}; 'accuracy': 0.7498293515358362; 'macro avg': {'precision': 0.587505995203837; 'recall': 0.5232624113475177; 'f1-score': 0.49811825601299287; 'support': 2930}; 'weighted avg': {'precision': 0.6813202543767034; 'recall': 0.7498293515358362; 'f1-score': 0.6825042151429793; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],262,104.987274,0.750853,2,[X3 == 8 OR X3 == 12],{'0': {'precision': 0.7780012570710245; 'recall': 0.9272836238325926; 'f1-score': 0.8461082756106454; 'support': 20023}; '1': {'precision': 0.4199203187250996; 'recall': 0.16593198992443325; 'f1-score': 0.23786955540510044; 'support': 6352}; 'accuracy': 0.7439241706161137; 'macro avg': {'precision': 0.5989607878980621; 'recall': 0.546607806878513; 'f1-score': 0.5419889155078729; 'support': 26375}; 'weighted avg': {'precision': 0.6917631482417045; 'recall': 0.7439241706161137; 'f1-score': 0.6996236367198161; 'support': 26375}},{'0': {'precision': 0.7817565020731247; 'recall': 0.9321348314606741; 'f1-score': 0.8503485034850348; 'support': 2225}; '1': {'precision': 0.4548736462093863; 'recall': 0.17872340425531916; 'f1-score': 0.25661914460285135; 'support': 705}; 'accuracy': 0.7508532423208191; 'macro avg': {'precision': 0.6183150741412555; 'recall': 0.5554291178579966; 'f1-score': 0.553483824043943; 'support': 2930}; 'weighted avg': {'precision': 0.7031038012594948; 'recall': 0.7508532423208191; 'f1-score': 0.7074887089417108; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],262,99.241292,0.767235,3,[X1 == 5 OR X3 == 14 OR X6 == 11],{'0': {'precision': 0.7797761953204476; 'recall': 0.9570015980823012; 'f1-score': 0.8593466221215722; 'support': 20024}; '1': {'precision': 0.5216666666666666; 'recall': 0.1478507321681625; 'f1-score': 0.23040117776959881; 'support': 6351}; 'accuracy': 0.7621611374407583; 'macro avg': {'precision': 0.6507214309935572; 'recall': 0.5524261651252319; 'f1-score': 0.5448738999455855; 'support': 26375}; 'weighted avg': {'precision': 0.7176243994349438; 'recall': 0.7621611374407583; 'f1-score': 0.7078989437488941; 'support': 26375}},{'0': {'precision': 0.7834558823529412; 'recall': 0.95818345323741; 'f1-score': 0.8620550161812298; 'support': 2224}; '1': {'precision': 0.5571428571428572; 'recall': 0.16572237960339944; 'f1-score': 0.25545851528384284; 'support': 706}; 'accuracy': 0.7672354948805461; 'macro avg': {'precision': 0.6702993697478992; 'recall': 0.5619529164204048; 'f1-score': 0.5587567657325363; 'support': 2930}; 'weighted avg': {'precision': 0.7289244844695558; 'recall': 0.7672354948805461; 'f1-score': 0.7158921733028834; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],262,97.702214,0.554608,4,[X3 == 6 OR X3 == 9 OR X5 == 2 OR X7 == 4],{'0': {'precision': 0.9479518581081081; 'recall': 0.4484119057131442; 'f1-score': 0.6088283157038242; 'support': 20024}; '1': {'precision': 0.3465656983967343; 'recall': 0.9223744292237442; 'f1-score': 0.5038272985292852; 'support': 6351}; 'accuracy': 0.5625402843601895; 'macro avg': {'precision': 0.6472587782524212; 'recall': 0.6853931674684443; 'f1-score': 0.5563278071165547; 'support': 26375}; 'weighted avg': {'precision': 0.8031403509867077; 'recall': 0.5625402843601895; 'f1-score': 0.5835444688763173; 'support': 26375}},{'0': {'precision': 0.9474196689386563; 'recall': 0.4375; 'f1-score': 0.5985850507536142; 'support': 2224}; '1': {'precision': 0.3426169206516027; 'recall': 0.9235127478753541; 'f1-score': 0.49980835569183596; 'support': 706}; 'accuracy': 0.5546075085324232; 'macro avg': {'precision': 0.6450182947951295; 'recall': 0.6805063739376771; 'f1-score': 0.5491967032227251; 'support': 2930}; 'weighted avg': {'precision': 0.8016890408531069; 'recall': 0.5546075085324232; 'f1-score': 0.5747842498274656; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.692034 (+- 0.068895), (mean training time) 98.996259 (+- 3.118566)
