l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,98.693101,0.726714,1,[X3 == 9],{'0': {'precision': 0.7940069812774831; 'recall': 0.8747440443489987; 'f1-score': 0.8324224133833944; 'support': 20023}; '1': {'precision': 0.41877172653534184; 'recall': 0.28452212250039366; 'f1-score': 0.3388336771048191; 'support': 6351}; 'accuracy': 0.7326154546143929; 'macro avg': {'precision': 0.6063893539064125; 'recall': 0.5796330834246961; 'f1-score': 0.5856280452441067; 'support': 26374}; 'weighted avg': {'precision': 0.703648328708008; 'recall': 0.7326154546143929; 'f1-score': 0.7135636106191102; 'support': 26374}},{'0': {'precision': 0.7937293729372937; 'recall': 0.8647191011235955; 'f1-score': 0.8277048827704884; 'support': 2225}; '1': {'precision': 0.40631163708086787; 'recall': 0.29178470254957506; 'f1-score': 0.3396537510305029; 'support': 706}; 'accuracy': 0.7267144319344934; 'macro avg': {'precision': 0.6000205050090808; 'recall': 0.5782519018365853; 'f1-score': 0.5836793169004957; 'support': 2931}; 'weighted avg': {'precision': 0.7004107371424672; 'recall': 0.7267144319344934; 'f1-score': 0.7101463365376567; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],296,105.421900,0.775844,3,[X1 == 5 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.7967394051731401; 'recall': 0.9445637516855616; 'f1-score': 0.8643769566508991; 'support': 20023}; '1': {'precision': 0.578907435508346; 'recall': 0.24027712171311605; 'f1-score': 0.3396016468231891; 'support': 6351}; 'accuracy': 0.7749677712899067; 'macro avg': {'precision': 0.6878234203407431; 'recall': 0.5924204366993389; 'f1-score': 0.6019893017370441; 'support': 26374}; 'weighted avg': {'precision': 0.7442843039620569; 'recall': 0.7749677712899067; 'f1-score': 0.7380082604836212; 'support': 26374}},{'0': {'precision': 0.7960725075528701; 'recall': 0.9474157303370786; 'f1-score': 0.8651754565975784; 'support': 2225}; '1': {'precision': 0.5865724381625441; 'recall': 0.23512747875354106; 'f1-score': 0.3356926188068756; 'support': 706}; 'accuracy': 0.7758444216990789; 'macro avg': {'precision': 0.6913224728577071; 'recall': 0.5912716045453098; 'f1-score': 0.600434037702227; 'support': 2931}; 'weighted avg': {'precision': 0.7456095089211504; 'recall': 0.7758444216990789; 'f1-score': 0.7376371135473444; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],296,103.132555,0.785056,2,[X3 == 10 OR X10 >= 57.000000],{'0': {'precision': 0.7994138580699184; 'recall': 0.9536033561404385; 'f1-score': 0.8697276122802223; 'support': 20023}; '1': {'precision': 0.6267577340297308; 'recall': 0.24563060935285783; 'f1-score': 0.35294117647058826; 'support': 6351}; 'accuracy': 0.7831197391370289; 'macro avg': {'precision': 0.7130857960498246; 'recall': 0.5996169827466481; 'f1-score': 0.6113343943754053; 'support': 26374}; 'weighted avg': {'precision': 0.7578373416606049; 'recall': 0.7831197391370289; 'f1-score': 0.7452826796258284; 'support': 26374}},{'0': {'precision': 0.7983539094650206; 'recall': 0.9591011235955056; 'f1-score': 0.8713760718660679; 'support': 2225}; '1': {'precision': 0.6472868217054264; 'recall': 0.23654390934844194; 'f1-score': 0.3464730290456432; 'support': 706}; 'accuracy': 0.7850562947799385; 'macro avg': {'precision': 0.7228203655852234; 'recall': 0.5978225164719737; 'f1-score': 0.6089245504558556; 'support': 2931}; 'weighted avg': {'precision': 0.7619658630787111; 'recall': 0.7850562947799385; 'f1-score': 0.7449408797025675; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],296,95.134751,0.718185,5,[X1 == 1 OR X1 == 2 OR X3 == 9 OR X3 == 10 OR X3 == 14],{'0': {'precision': 0.8241361526560083; 'recall': 0.7980822054637168; 'f1-score': 0.8108999568670235; 'support': 20023}; '1': {'precision': 0.4211053837342497; 'recall': 0.46307668083766335; 'f1-score': 0.4410948631421072; 'support': 6351}; 'accuracy': 0.7174110866762721; 'macro avg': {'precision': 0.622620768195129; 'recall': 0.63057944315069; 'f1-score': 0.6259974100045653; 'support': 26374}; 'weighted avg': {'precision': 0.7270841918831984; 'recall': 0.7174110866762721; 'f1-score': 0.7218489160599051; 'support': 26374}},{'0': {'precision': 0.8219052001840773; 'recall': 0.8026966292134832; 'f1-score': 0.81218735788995; 'support': 2225}; '1': {'precision': 0.420844327176781; 'recall': 0.4518413597733711; 'f1-score': 0.43579234972677594; 'support': 706}; 'accuracy': 0.7181849198225861; 'macro avg': {'precision': 0.6213747636804292; 'recall': 0.6272689944934271; 'f1-score': 0.623989853808363; 'support': 2931}; 'weighted avg': {'precision': 0.7253002952563561; 'recall': 0.7181849198225861; 'f1-score': 0.7215238042348149; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],296,97.683661,0.662914,5,[X1 == 1 OR X3 == 14 OR X6 == 11 OR X6 == 12 OR X12 >= 49.500000],{'0': {'precision': 0.8227483331449882; 'recall': 0.7272137042401239; 'f1-score': 0.7720367964794146; 'support': 20023}; '1': {'precision': 0.37044721069617337; 'recall': 0.5060620374744135; 'f1-score': 0.4277633592866174; 'support': 6351}; 'accuracy': 0.6739592022446349; 'macro avg': {'precision': 0.5965977719205808; 'recall': 0.6166378708572686; 'f1-score': 0.599900077883016; 'support': 26374}; 'weighted avg': {'precision': 0.7138318082085953; 'recall': 0.6739592022446349; 'f1-score': 0.6891339148683031; 'support': 26374}},{'0': {'precision': 0.8138001014713343; 'recall': 0.7208988764044943; 'f1-score': 0.7645376549094375; 'support': 2225}; '1': {'precision': 0.353125; 'recall': 0.4801699716713881; 'f1-score': 0.40696278511404566; 'support': 706}; 'accuracy': 0.6629136813374275; 'macro avg': {'precision': 0.5834625507356672; 'recall': 0.6005344240379412; 'f1-score': 0.5857502200117416; 'support': 2931}; 'weighted avg': {'precision': 0.7028357133311903; 'recall': 0.6629136813374275; 'f1-score': 0.6784073723862213; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],296,93.752343,0.735154,5,[X3 == 8 OR X3 == 14 OR X5 == 3 OR X6 == 4 OR X11 >= 1551.500000],{'0': {'precision': 0.813645868793464; 'recall': 0.8355890725665485; 'f1-score': 0.8244714926329276; 'support': 20023}; '1': {'precision': 0.43358568479008947; 'recall': 0.3967254408060453; 'f1-score': 0.41433738901677075; 'support': 6352}; 'accuracy': 0.7298957345971564; 'macro avg': {'precision': 0.6236157767917767; 'recall': 0.616157256686297; 'f1-score': 0.6194044408248491; 'support': 26375}; 'weighted avg': {'precision': 0.7221144076071347; 'recall': 0.7298957345971564; 'f1-score': 0.7256972053847824; 'support': 26375}},{'0': {'precision': 0.8162374508948058; 'recall': 0.8404494382022472; 'f1-score': 0.8281665190434013; 'support': 2225}; '1': {'precision': 0.4444444444444444; 'recall': 0.40283687943262414; 'f1-score': 0.4226190476190476; 'support': 705}; 'accuracy': 0.7351535836177474; 'macro avg': {'precision': 0.6303409476696251; 'recall': 0.6216431588174356; 'f1-score': 0.6253927833312245; 'support': 2930}; 'weighted avg': {'precision': 0.7267787240867837; 'recall': 0.7351535836177474; 'f1-score': 0.7305859841102377; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],296,102.161689,0.618430,4,[X0 >= 54.500000 OR X5 == 1 OR X7 == 4 OR X13 == 34],{'0': {'precision': 0.745859904098077; 'recall': 0.7535334365479698; 'f1-score': 0.7496770346815064; 'support': 20023}; '1': {'precision': 0.1970387243735763; 'recall': 0.19064861460957178; 'f1-score': 0.19379100656104975; 'support': 6352}; 'accuracy': 0.6179715639810427; 'macro avg': {'precision': 0.47144931423582664; 'recall': 0.4720910255787708; 'f1-score': 0.47173402062127806; 'support': 26375}; 'weighted avg': {'precision': 0.6136850364730522; 'recall': 0.6179715639810426; 'f1-score': 0.61580071048734; 'support': 26375}},{'0': {'precision': 0.7452370403190075; 'recall': 0.7559550561797753; 'f1-score': 0.7505577867023651; 'support': 2225}; '1': {'precision': 0.19316493313521546; 'recall': 0.18439716312056736; 'f1-score': 0.18867924528301883; 'support': 705}; 'accuracy': 0.6184300341296929; 'macro avg': {'precision': 0.46920098672711147; 'recall': 0.4701761096501713; 'f1-score': 0.46961851599269194; 'support': 2930}; 'weighted avg': {'precision': 0.6124005776689824; 'recall': 0.6184300341296929; 'f1-score': 0.6153617554052185; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],296,92.550730,0.718430,2,[X6 == 3 OR X10 >= 57.000000],{'0': {'precision': 0.7919734029921633; 'recall': 0.832792288867802; 'f1-score': 0.8118701007838744; 'support': 20023}; '1': {'precision': 0.3706766917293233; 'recall': 0.31045340050377834; 'f1-score': 0.33790267306374233; 'support': 6352}; 'accuracy': 0.7069952606635072; 'macro avg': {'precision': 0.5813250473607433; 'recall': 0.5716228446857902; 'f1-score': 0.5748863869238083; 'support': 26375}; 'weighted avg': {'precision': 0.6905107789185496; 'recall': 0.7069952606635072; 'f1-score': 0.6977225708927548; 'support': 26375}},{'0': {'precision': 0.7951096121416527; 'recall': 0.8476404494382023; 'f1-score': 0.8205351316075701; 'support': 2225}; '1': {'precision': 0.3924731182795699; 'recall': 0.31063829787234043; 'f1-score': 0.34679334916864607; 'support': 705}; 'accuracy': 0.7184300341296929; 'macro avg': {'precision': 0.5937913652106113; 'recall': 0.5791393736552714; 'f1-score': 0.583664240388108; 'support': 2930}; 'weighted avg': {'precision': 0.6982295001372948; 'recall': 0.7184300341296929; 'f1-score': 0.706546067914928; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],296,94.483203,0.658020,3,[X3 == 12 OR X3 == 14 OR X5 == 0],{'0': {'precision': 0.7680446504588024; 'recall': 0.8109268877347183; 'f1-score': 0.7889034640237089; 'support': 20024}; '1': {'precision': 0.2765144276705523; 'recall': 0.22783813572665723; 'f1-score': 0.2498273480662984; 'support': 6351}; 'accuracy': 0.670521327014218; 'macro avg': {'precision': 0.5222795390646774; 'recall': 0.5193825117306878; 'f1-score': 0.5193654060450037; 'support': 26375}; 'weighted avg': {'precision': 0.6496860364330895; 'recall': 0.670521327014218; 'f1-score': 0.6590959791916515; 'support': 26375}},{'0': {'precision': 0.7565071368597817; 'recall': 0.810251798561151; 'f1-score': 0.7824576639166304; 'support': 2224}; '1': {'precision': 0.22992700729927007; 'recall': 0.17847025495750707; 'f1-score': 0.20095693779904303; 'support': 706}; 'accuracy': 0.6580204778156996; 'macro avg': {'precision': 0.49321707207952586; 'recall': 0.494361026759329; 'f1-score': 0.4917073008578367; 'support': 2930}; 'weighted avg': {'precision': 0.6296246892591942; 'recall': 0.6580204778156996; 'f1-score': 0.6423417892958057; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],296,96.052194,0.762116,3,[X1 == 5 OR X3 == 10 OR X7 == 5],{'0': {'precision': 0.7890784698176964; 'recall': 0.9446164602477027; 'f1-score': 0.8598704398227071; 'support': 20024}; '1': {'precision': 0.5386855241264559; 'recall': 0.20390489686663518; 'f1-score': 0.2958309537407196; 'support': 6351}; 'accuracy': 0.7662559241706162; 'macro avg': {'precision': 0.6638819969720762; 'recall': 0.574260678557169; 'f1-score': 0.5778506967817133; 'support': 26375}; 'weighted avg': {'precision': 0.7287847978523857; 'recall': 0.7662559241706162; 'f1-score': 0.7240518701125004; 'support': 26375}},{'0': {'precision': 0.7888762769580022; 'recall': 0.9375; 'f1-score': 0.8567906307787138; 'support': 2224}; '1': {'precision': 0.5156794425087108; 'recall': 0.2096317280453258; 'f1-score': 0.298086606243706; 'support': 706}; 'accuracy': 0.7621160409556313; 'macro avg': {'precision': 0.6522778597333565; 'recall': 0.5735658640226629; 'f1-score': 0.5774386185112099; 'support': 2930}; 'weighted avg': {'precision': 0.7230479612169783; 'recall': 0.7621160409556313; 'f1-score': 0.7221677497815412; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.716086 (+- 0.051642), (mean training time) 97.906613 (+- 4.139435)
